cv19_activos,cv19_curados,cv19_fallecidos,cv19_total_casos,fecha_datos,isla,municipio,poblacion
1.0,5.0,,6.0,22/05/2021,TENERIFE,Vilaflor,1715
,,,,22/05/2021,FUERTEVENTURA,Betancuria,773
,4.0,,4.0,22/05/2021,LA PALMA,Garafía,1730
,1.0,,1.0,22/05/2021,LA GOMERA,Hermigua,1775
,43.0,,40.0,22/05/2021,LA PALMA,Tazacorte,4601
,,,,22/05/2021,LA GOMERA,Agulo,1110
,4.0,,4.0,28/05/2021,TENERIFE,Garachico,4869
216.0,3466.0,39.0,3632.0,28/05/2021,LANZAROTE,Arrecife,64645
9.0,201.0,2.0,191.0,28/05/2021,TENERIFE,La Orotava,42187
1.0,26.0,1.0,23.0,28/05/2021,TENERIFE,La Matanza de Acentejo,9059
3.0,20.0,1.0,22.0,28/05/2021,TENERIFE,Santiago del Teide,11281
,17.0,,17.0,28/05/2021,TENERIFE,San juan de La Rambla,4873
6.0,101.0,1.0,103.0,28/05/2021,LANZAROTE,Tías,20628
,21.0,,12.0,28/05/2021,TENERIFE,Arico,8111
,2.0,,2.0,28/05/2021,LA GOMERA,Valle Gran Rey,4630
,59.0,,53.0,28/05/2021,GRAN CANARIA,Mogán,20487
,13.0,,13.0,28/05/2021,GRAN CANARIA,Vega de San Mateo,7569
,4.0,,4.0,28/05/2021,FUERTEVENTURA,Antigua,12972
17.0,217.0,,208.0,28/05/2021,TENERIFE,Los Realejos,36727
2.0,32.0,,34.0,28/05/2021,LANZAROTE,San Bartolomé,19099
1.0,3.0,,4.0,28/05/2021,LA PALMA,Tijarafe,2507
3.0,85.0,2.0,81.0,28/05/2021,TENERIFE,Icod de Los Vinos,23316
3.0,42.0,,41.0,28/05/2021,LANZAROTE,Yaiza,17040
12.0,87.0,1.0,90.0,28/05/2021,LA PALMA,Los Llanos de Aridane,20760
2.0,98.0,,97.0,28/05/2021,GRAN CANARIA,Ingenio,31694
415.0,,119.0,10671.0,28/05/2021,GRAN CANARIA,Las Palmas de Gran Canaria,381223
,6.0,1.0,7.0,28/05/2021,LA GOMERA,Alajeró,2026
1.0,27.0,,27.0,28/05/2021,LA PALMA,Santa Cruz de La Palma,15695
1.0,10.0,,10.0,28/05/2021,LA PALMA,Breña Baja,5821
,12.0,,12.0,28/05/2021,GRAN CANARIA,Agaete,5599
1.0,59.0,1.0,57.0,28/05/2021,GRAN CANARIA,Agüimes,31914
2.0,55.0,,51.0,28/05/2021,TENERIFE,El Sauzal,8940
1.0,9.0,,10.0,28/05/2021,LANZAROTE,Haría,5263
,3.0,,2.0,28/05/2021,EL HIERRO,El Pinar,1894
1.0,10.0,,10.0,28/05/2021,TENERIFE,El Tanque,2852
1.0,71.0,,69.0,28/05/2021,GRAN CANARIA,Arucas,38334
1.0,284.0,3.0,279.0,28/05/2021,EL HIERRO,Valverde,5069
3.0,84.0,,87.0,28/05/2021,FUERTEVENTURA,Tuineje,15596
1.0,12.0,,10.0,28/05/2021,TENERIFE,Fasnia,2818
1.0,29.0,,27.0,28/05/2021,TENERIFE,Tegueste,11287
51.0,397.0,,396.0,28/05/2021,TENERIFE,Adeje,49030
,35.0,1.0,35.0,28/05/2021,GRAN CANARIA,Gáldar,24370
9.0,268.0,2.0,274.0,28/05/2021,GRAN CANARIA,Santa Lucía de Tirajana,74602
5.0,66.0,,52.0,28/05/2021,TENERIFE,Güímar,20662
267.0,2878.0,68.0,2627.0,28/05/2021,TENERIFE,La Laguna,158911
,63.0,,45.0,28/05/2021,LA PALMA,Breña Alta,7247
,11.0,,11.0,28/05/2021,TENERIFE,Arafo,5593
,13.0,,13.0,28/05/2021,GRAN CANARIA,La Aldea de San Nicolás,7508
6.0,127.0,1.0,123.0,28/05/2021,TENERIFE,Guía de Isora,21796
,49.0,,47.0,28/05/2021,LANZAROTE,Teguise,22703
,42.0,,40.0,28/05/2021,GRAN CANARIA,Santa Brígida,18394
5.0,83.0,,73.0,28/05/2021,TENERIFE,Candelaria,28383
,20.0,,19.0,28/05/2021,GRAN CANARIA,Teror,12522
3.0,119.0,1.0,114.0,28/05/2021,FUERTEVENTURA,Pájara,21349
25.0,428.0,3.0,351.0,28/05/2021,TENERIFE,Granadilla de Abona,51233
,2.0,,2.0,28/05/2021,TENERIFE,Buenavista del Norte,4786
39.0,454.0,4.0,397.0,28/05/2021,TENERIFE,Arona,82777
31.0,739.0,7.0,755.0,28/05/2021,FUERTEVENTURA,Puerto del Rosario,41808
3.0,9.0,,12.0,28/05/2021,GRAN CANARIA,Santa María de Guía,13897
1.0,13.0,,13.0,28/05/2021,LA PALMA,El Paso,7623
563.0,5903.0,67.0,5838.0,28/05/2021,TENERIFE,Santa Cruz de Tenerife,209194
,43.0,,23.0,28/05/2021,LA GOMERA,San Sebastián de La Gomera,9258
8.0,72.0,1.0,74.0,28/05/2021,TENERIFE,El Rosario,17496
2.0,17.0,,17.0,28/05/2021,LA PALMA,Villa de Mazo,4859
,2.0,,2.0,28/05/2021,GRAN CANARIA,Tejeda,1883
,12.0,,11.0,28/05/2021,LANZAROTE,Tinajo,6434
7.0,49.0,,46.0,28/05/2021,TENERIFE,San Miguel de Abona,21621
7.0,223.0,4.0,213.0,28/05/2021,GRAN CANARIA,San Bartolomé de Tirajana,53397
8.0,186.0,1.0,163.0,28/05/2021,TENERIFE,Puerto de La Cruz,30492
,4.0,,4.0,28/05/2021,GRAN CANARIA,Artenara,1049
11.0,111.0,,110.0,28/05/2021,TENERIFE,Tacoronte,24201
6.0,248.0,1.0,247.0,28/05/2021,GRAN CANARIA,Telde,102791
,6.0,,6.0,28/05/2021,LA PALMA,San Andrés y Sauces,4182
,6.0,,5.0,28/05/2021,GRAN CANARIA,Valsequillo,9377
10.0,349.0,1.0,347.0,28/05/2021,FUERTEVENTURA,La Oliva,27234
,9.0,,8.0,28/05/2021,EL HIERRO,Frontera,4184
,5.0,,5.0,28/05/2021,GRAN CANARIA,Moya,7746
2.0,53.0,1.0,51.0,28/05/2021,TENERIFE,La Victoria de Acentejo,9158
1.0,20.0,,18.0,28/05/2021,TENERIFE,La Guancha,5540
,11.0,,9.0,28/05/2021,TENERIFE,Los Silos,4743
1.0,11.0,,11.0,28/05/2021,GRAN CANARIA,Firgas,7438
,44.0,,34.0,28/05/2021,TENERIFE,Santa Úrsula,14953
,,,,28/05/2021,LA PALMA,Puntagorda,2203
,10.0,,2.0,28/05/2021,LA PALMA,Barlovento,1926
,6.0,,6.0,28/05/2021,LA GOMERA,Vallehermoso,2879
,3.0,,,28/05/2021,LA PALMA,Fuencaliente,1751
,5.0,,5.0,28/05/2021,LA PALMA,Puntallana,2553
,7.0,,7.0,28/05/2021,GRAN CANARIA,Valleseco,3727
1.0,5.0,,6.0,28/05/2021,TENERIFE,Vilaflor,1715
