fecha_datos,cv19_activos,isla,municipio,poblacion,cv19_total_casos,cv19_fallecidos,cv19_curados
15/02/2021,416,TENERIFE,La Laguna,158911,,,
16/02/2021,428,TENERIFE,La Laguna,158911,,,
17/02/2021,406,TENERIFE,La Laguna,158911,,,
18/02/2021,406,TENERIFE,La Laguna,158911,,,
19/02/2021,,TENERIFE,La Laguna,158911,,,
20/02/2021,,TENERIFE,La Laguna,158911,,,
21/02/2021,,TENERIFE,La Laguna,158911,,,
22/02/2021,427,TENERIFE,La Laguna,158911,,,
23/02/2021,,TENERIFE,La Laguna,158911,,,
24/02/2021,453,TENERIFE,La Laguna,158911,,,
25/02/2021,441,TENERIFE,La Laguna,158911,,,
26/02/2021,451,TENERIFE,La Laguna,158911,,,
27/02/2021,461,TENERIFE,La Laguna,158911,,,
28/02/2021,,TENERIFE,La Laguna,158911,,,
01/03/2021,,TENERIFE,La Laguna,158911,,,
02/03/2021,,TENERIFE,La Laguna,158911,,,
03/03/2021,,TENERIFE,La Laguna,158911,,,
04/03/2021,432,TENERIFE,La Laguna,158911,,,
05/03/2021,,TENERIFE,La Laguna,158911,,,
06/03/2021,447,TENERIFE,La Laguna,158911,,,
07/03/2021,,TENERIFE,La Laguna,158911,,,
08/03/2021,472,TENERIFE,La Laguna,158911,,,
09/03/2021,,TENERIFE,La Laguna,158911,,,
10/03/2021,,TENERIFE,La Laguna,158911,,,
11/03/2021,454,TENERIFE,La Laguna,158911,,,
12/03/2021,,TENERIFE,La Laguna,158911,,,
13/03/2021,,TENERIFE,La Laguna,158911,,,
14/03/2021,,TENERIFE,La Laguna,158911,,,
15/03/2021,542,TENERIFE,La Laguna,158911,,,
16/03/2021,529,TENERIFE,La Laguna,158911,,,
17/03/2021,,TENERIFE,La Laguna,158911,,,
18/03/2021,515,TENERIFE,La Laguna,158911,,,
19/03/2021,524,TENERIFE,La Laguna,158911,,,
20/03/2021,,TENERIFE,La Laguna,158911,,,
21/03/2021,,TENERIFE,La Laguna,158911,,,
22/03/2021,,TENERIFE,La Laguna,158911,,,
23/03/2021,499,TENERIFE,La Laguna,158911,,,
24/03/2021,,TENERIFE,La Laguna,158911,,,
25/03/2021,,TENERIFE,La Laguna,158911,,,
26/03/2021,,TENERIFE,La Laguna,158911,,,
27/03/2021,473,TENERIFE,La Laguna,158911,,,
28/03/2021,489,TENERIFE,La Laguna,158911,,,
29/03/2021,,TENERIFE,La Laguna,158911,,,
30/03/2021,,TENERIFE,La Laguna,158911,,,
31/03/2021,,TENERIFE,La Laguna,158911,,,
01/04/2021,,TENERIFE,La Laguna,158911,,,
02/04/2021,,TENERIFE,La Laguna,158911,,,
03/04/2021,,TENERIFE,La Laguna,158911,,,
04/04/2021,,TENERIFE,La Laguna,158911,,,
05/04/2021,,TENERIFE,La Laguna,158911,,,
06/04/2021,,TENERIFE,La Laguna,158911,,,
07/04/2021,,TENERIFE,La Laguna,158911,,,
08/04/2021,495,TENERIFE,La Laguna,158911,,,
09/04/2021,,TENERIFE,La Laguna,158911,,,
10/04/2021,,TENERIFE,La Laguna,158911,,,
11/04/2021,,TENERIFE,La Laguna,158911,,,
12/04/2021,,TENERIFE,La Laguna,158911,,,
13/04/2021,,TENERIFE,La Laguna,158911,,,
14/04/2021,578,TENERIFE,La Laguna,158911,,,
15/04/2021,,TENERIFE,La Laguna,158911,,,
16/04/2021,,TENERIFE,La Laguna,158911,,,
17/04/2021,,TENERIFE,La Laguna,158911,,,
18/04/2021,,TENERIFE,La Laguna,158911,,,
19/04/2021,,TENERIFE,La Laguna,158911,,,
20/04/2021,,TENERIFE,La Laguna,158911,,,
21/04/2021,,TENERIFE,La Laguna,158911,,,
22/04/2021,,TENERIFE,La Laguna,158911,,,
23/04/2021,,TENERIFE,La Laguna,158911,,,
24/04/2021,,TENERIFE,La Laguna,158911,,,
25/04/2021,556,TENERIFE,La Laguna,158911,,,
26/04/2021,,TENERIFE,La Laguna,158911,,,
27/04/2021,,TENERIFE,La Laguna,158911,,,
28/04/2021,,TENERIFE,La Laguna,158911,,,
29/04/2021,,TENERIFE,La Laguna,158911,,,
30/04/2021,,TENERIFE,La Laguna,158911,,,
01/05/2021,,TENERIFE,La Laguna,158911,,,
02/05/2021,541,TENERIFE,La Laguna,158911,,,
03/05/2021,,TENERIFE,La Laguna,158911,,,
04/05/2021,,TENERIFE,La Laguna,158911,,,
05/05/2021,,TENERIFE,La Laguna,158911,,,
06/05/2021,,TENERIFE,La Laguna,158911,,,
07/05/2021,,TENERIFE,La Laguna,158911,,,
08/05/2021,474,TENERIFE,La Laguna,158911,,,
09/05/2021,,TENERIFE,La Laguna,158911,,,
